,county,date,month,2.9%tax,year,total_revenue
137,Pitkin,2-01-2016,2,3238,2016,111655.172414
138,Pueblo,2-01-2016,2,25507,2016,879551.724138
139,Routt,2-01-2016,2,6097,2016,210241.37931
140,San Miguel,2-01-2016,2,1558,2016,53724.137931
141,Summit,2-01-2016,2,7018,2016,242000.0
142,Weld,2-01-2016,2,9615,2016,331551.724138
143,Other Counties,2-01-2016,2,23448,2016,808551.724138
144,Adams,3-01-2014,3,13534,2014,466689.655172
145,Arapahoe,3-01-2014,3,29504,2014,1017379.31034
146,Boulder,3-01-2014,3,94702,2014,3265586.2069
147,Clear Creek,3-01-2014,3,3982,2014,137310.344828
148,Denver,3-01-2014,3,489964,2014,16895310.3448
149,Eagle,3-01-2014,3,4867,2014,167827.586207
150,El Paso,3-01-2014,3,155230,2014,5352758.62069
151,Fremont,3-01-2014,3,6589,2014,227206.896552
152,Garfield,3-01-2014,3,13101,2014,451758.62069
153,Gilpin,3-01-2014,3,970,2014,33448.2758621
154,Jefferson,3-01-2014,3,57720,2014,1990344.82759
155,La Plata,3-01-2014,3,16639,2014,573758.62069
156,Larimer,3-01-2014,3,32081,2014,1106241.37931
157,Pitkin,3-01-2014,3,11125,2014,383620.689655
158,Pueblo,3-01-2014,3,14555,2014,501896.551724
159,Routt,3-01-2014,3,5928,2014,204413.793103
160,San Miguel,3-01-2014,3,3177,2014,109551.724138
161,Summit,3-01-2014,3,6003,2014,207000.0
162,Weld,3-01-2014,3,16461,2014,567620.689655
163,Other Counties,3-01-2014,3,23768,2014,819586.206897
164,Adams,3-01-2015,3,11922,2015,411103.448276
165,Arapahoe,3-01-2015,3,38362,2015,1322827.58621
166,Boulder,3-01-2015,3,59855,2015,2063965.51724
167,Clear Creek,3-01-2015,3,3926,2015,135379.310345
168,Denver,3-01-2015,3,418500,2015,14431034.4828
169,Eagle,3-01-2015,3,10326,2015,356068.965517
170,El Paso,3-01-2015,3,164229,2015,5663068.96552
171,Fremont,3-01-2015,3,4907,2015,169206.896552
172,Garfield,3-01-2015,3,11415,2015,393620.689655
173,Jefferson,3-01-2015,3,46460,2015,1602068.96552
174,La Plata,3-01-2015,3,25085,2015,865000.0
175,Larimer,3-01-2015,3,34075,2015,1175000.0
176,Montezuma,3-01-2015,3,3292,2015,113517.241379
177,Pitkin,3-01-2015,3,2159,2015,74448.2758621
178,Pueblo,3-01-2015,3,14904,2015,513931.034483
179,Routt,3-01-2015,3,5918,2015,204068.965517
180,San Miguel,3-01-2015,3,1864,2015,64275.862069
181,Summit,3-01-2015,3,6350,2015,218965.517241
182,Weld,3-01-2015,3,12672,2015,436965.517241
183,Other Counties,3-01-2015,3,18972,2015,654206.896552
184,Adams,3-01-2016,3,4602,2016,158689.655172
185,Arapahoe,3-01-2016,3,22393,2016,772172.413793
186,Boulder,3-01-2016,3,73164,2016,2522896.55172
187,Clear Creek,3-01-2016,3,2602,2016,89724.137931
188,Denver,3-01-2016,3,450002,2016,15517310.3448
189,Eagle,3-01-2016,3,8681,2016,299344.827586
190,El Paso,3-01-2016,3,213427,2016,7359551.72414
191,Fremont,3-01-2016,3,5483,2016,189068.965517
192,Garfield,3-01-2016,3,11204,2016,386344.827586
193,Jefferson,3-01-2016,3,42725,2016,1473275.86207
194,La Plata,3-01-2016,3,11345,2016,391206.896552
195,Larimer,3-01-2016,3,35866,2016,1236758.62069
196,Montezuma,3-01-2016,3,2886,2016,99517.2413793
197,Pitkin,3-01-2016,3,6138,2016,211655.172414
198,Pueblo,3-01-2016,3,10557,2016,364034.482759
199,Routt,3-01-2016,3,6183,2016,213206.896552
200,Other Counties,3-01-2016,3,30207,2016,1041620.68966
201,Adams,4-01-2014,4,6351,2014,219000.0
202,Arapahoe,4-01-2014,4,38484,2014,1327034.48276
203,Boulder,4-01-2014,4,88590,2014,3054827.58621
204,Clear Creek,4-01-2014,4,2632,2014,90758.6206897
205,Denver,4-01-2014,4,421106,2014,14520896.5517
206,Eagle,4-01-2014,4,8591,2014,296241.37931
207,El Paso,4-01-2014,4,144236,2014,4973655.17241
208,Fremont,4-01-2014,4,5689,2014,196172.413793
209,Garfield,4-01-2014,4,10033,2014,345965.517241
210,Gilpin,4-01-2014,4,1214,2014,41862.0689655
211,Jefferson,4-01-2014,4,67475,2014,2326724.13793
212,La Plata,4-01-2014,4,22917,2014,790241.37931
213,Larimer,4-01-2014,4,35514,2014,1224620.68966
214,Montezuma,4-01-2014,4,2134,2014,73586.2068966
215,Pitkin,4-01-2014,4,4325,2014,149137.931034
216,Pueblo,4-01-2014,4,11468,2014,395448.275862
217,Routt,4-01-2014,4,5227,2014,180241.37931
